b,Pizza Slice,298.0,12.1,34.0,13.3
b,Berry Pie Slice,360.0,17.5,49.2,4.0
b,Yogurt (4oz),100.0,1.5,19.0,4.0
b,Hot Dog,190.0,16.0,4.0,7.0
b,Hot Dog Bun,110.0,1.5,21.0,3.0
r,HotDog&Bun,Hot Dog,1.0,Hot Dog Bun,1.0
b,Potato Salad (cup),358.0,20.5,27.9,6.7
b,Bread (slice),80.0,1.0,15.0,2.0
b,Peanut Butter (tbsp),95.0,8.0,3.5,4.0
r,PB Sandwich,Bread (slice),2.0,Peanut Butter (tbsp),2.0
b,Jelly (tbsp),56.0,6.3,14.7,0.0
r,PB+J Sandwich,PB Sandwich,1.0,Jelly (tbsp),1.0
b,Cola (can),140.0,0.0,39.0,0.0
r,Bad Dinner,Pizza Slice,2.0,HotDog+Bun,2.0,Potato Salad (cup),1.8,Cola (can),1.0,Berry Pie Slice,1.5
b,Ejup Elezi,0.1,0.2,0.3,0.4
r,Sarma,Laker,2.0,Mish,2.0
b,fasfa,1.0,2.0,3.0,5.0
r,Name,Pizza Slice,3.0,Yogurt (4oz),3.0,Hot Dog Bun,3.0
b,test1,1.0,1.0,1.0,1.0
r,test2,Pizza Slice,2.0,Berry Pie Slice,2.0,Hot Dog Bun,2.0